1,Ân Thi,Huyện,"20 48 49N, 106 05 30E",22
2,Ô Môn,Quận,"10 07 28N, 105 37 51E",20
3,Đăk Đoa,Huyện,"14 07 02N, 108 09 36E",21
4,Đăk Pơ,Huyện,"13 55 47N, 108 36 16E",21
5,Đô Lương,Huyện,"18 55 00N, 105 21 03E",41
6,Đông Anh,Huyện,"21 08 16N, 105 49 38E",25
7,Đông Giang,Huyện,"15 54 44N, 107 47 06E",47
8,Đông Hưng,Huyện,"20 32 50N, 106 20 15E",54
9,Đông Hà,Thành phố,"16 48 12N, 107 05 12E",50
10,Đông Hải,Huyện,"9 08 11N, 105 24 42E",9
11,Đông Hoà,Huyện,,45
12,Đông Sơn,Huyện,"19 47 44N, 105 42 19E",56
13,Đông Triều,Huyện,"21 07 10N, 106 34 36E",49
14,Đơn Dương,Huyện,"11 48 26N, 108 32 48E",35
15,Đà Bắc,Huyện,"20 55 58N, 105 04 52E",31
16,Đà Lạt,Thành phố,"11 54 33N, 108 27 08E",35
17,Đạ Huoai,Huyện,"11 27 11N, 107 38 08E",35
18,Đạ Tẻh,Huyện,"11 33 46N, 107 32 00E",35
19,Đại Lộc,Huyện,"15 50 10N, 107 58 27E",47
20,Đại Từ,Huyện,"21 36 17N, 105 37 28E",55
21,Đắk Glei,Huyện,"15 08 13N, 107 44 03E",34
22,Đắk Glong,Huyện,"12 01 53N, 107 50 37E",3
23,Đắk Hà,Huyện,"14 36 50N, 107 59 55E",34
24,Đắk Mil,Huyện,"12 31 08N, 107 42 24E",3
25,Đắk R'lấp,Huyện,"12 02 30N, 107 25 59E",3
26,Đắk Song,Huyện,"12 14 04N, 107 36 30E",3
27,Đắk Tô,Huyện,"14 46 49N, 107 55 36E",34
28,Đình Lập,Huyện,"21 32 07N, 107 07 25E",37
29,Đa Krông,Huyện,"16 33 58N, 106 55 49E",50
30,Đồ Sơn,Quận,"20 42 41N, 106 44 54E",28
31,Đam Rông,Huyện,"12 02 35N, 108 10 26E",35
32,Đan Phượng,Huyện,"21 07 13N, 105 40 49E",25
33,Đồng Hới,Thành phố,"17 26 53N, 106 35 15E",46
34,Đồng Hỷ,Huyện,"21 41 10N, 105 55 43E",55
35,Đồng Phù,Huyện,"11 28 45N, 106 57 07E",15
36,Đồng Văn,Huyện,"23 14 34N, 105 15 48E",23
37,Đồng Xoài,Thị xã,"11 31 01N, 106 50 21E",15
38,Đồng Xuân,Huyện,"13 24 59N, 108 56 46E",45
39,Đầm Dơi,Huyện,"8 57 48N, 105 13 56E",18
40,Đầm Hà,Huyện,"21 21 23N, 107 34 32E",49
41,Đống Đa,Quận,"21 00 56N, 105 49 06E",25
42,Đất Đỏ,Huyện,"10 28 40N, 107 18 27E",8
43,Điện Bàn,Huyện,"15 54 15N, 108 13 38E",47
44,Điện Biên,Huyện,"21 15 19N, 103 03 19E",6
45,Điện Biên Đông,Huyện,"21 14 07N, 103 15 19E",6
46,Điện Biên Phủ,Thành phố,"21 24 52N, 103 02 31E",6
47,Đoan Hùng,Huyện,"21 36 56N, 105 08 42E",44
48,Đức Cơ,Huyện,"13 46 16N, 107 38 26E",21
49,Đức Hòa,Huyện,"10 53 04N, 106 23 58E",39
50,Đức Huệ,Huyện,"10 51 57N, 106 15 48E",39
51,Đức Linh,Huyện,"11 11 43N, 107 31 34E",16
52,Đức Phổ,Huyện,"14 44 59N, 108 56 58E",48
53,Đức Thọ,Huyện,"18 29 23N, 105 36 39E",26
54,Đức Trọng,Huyện,"11 41 50N, 108 18 58E",35
55,Định Hóa,Huyện,"21 53 50N, 105 38 01E",55
56,Định Quán,Huyện,"11 12 41N, 107 17 03E",4
57,1,Quận,"10 46 34N, 106 41 45E",29
58,10,Quận,"10 46 25N, 106 40 02E",29
59,11,Quận,"10 46 01N, 106 38 44E",29
60,12,Quận,"10 51 43N, 106 39 32E",29
61,2,Quận,"10 46 51N, 106 45 25E",29
62,3,Quận,"10 46 48N, 106 40 46E",29
63,4,Quận,"10 45 42N, 106 42 09E",29
64,5,Quận,"10 45 24N, 106 40 00E",29
65,6,Quận,"10 44 46N, 106 38 10E",29
66,7,Quận,"10 44 19N, 106 43 35E",29
67,8,Quận,"10 43 24N, 106 37 40E",29
68,9,Quận,"10 49 49N, 106 49 03E",29
69,A Lưới,Huyện,"16 13 59N, 107 16 12E",57
70,An Biên,Huyện,"9 48 37N, 105 03 18E",33
71,An Dương,Huyện,"20 53 06N, 106 35 36E",28
72,An Khê,Th? Xó,"14 01 24N, 108 41 29E",21
73,An Lão,Huyện,"14 32 10N, 108 47 52E",13
74,An Lão,Huyện,"20 47 54N, 106 33 19E",28
75,An Minh,Huyện,"9 40 24N, 104 59 05E",33
76,An Nhơn,Huyện,"13 51 28N, 109 04 02E",13
77,An Phú,Huyện,"10 50 12N, 105 05 33E",7
78,Anh Sơn,Huyện,"18 58 04N, 105 04 30E",41
79,Ayun Pa,Th? Xó,,21
80,Bà Rịa,Th? Xó,"10 30 33N, 107 10 47E",8
81,Bảo Lâm,Huyện,"11 38 31N, 107 43 25E",35
82,Bảo Lâm,Huyện,"22 52 37N, 105 27 28E",19
83,Bảo Lạc,Huyện,"22 52 31N, 105 42 41E",19
84,Bảo Lộc,Th? Xó,"11 32 48N, 107 47 37E",35
85,Bảo Thắng,Huyện,"22 22 47N, 104 10 00E",36
86,Bảo Yên,Huyện,"22 17 38N, 104 25 02E",36
87,Bá Thước,Huyện,"20 22 48N, 105 14 50E",56
88,Bác ái,Huyện,"11 54 45N, 108 51 29E",43
89,Bát Xát,Huyện,"22 35 50N, 103 44 49E",36
90,Bạc Liêu,Th? Xó,"9 16 05N, 105 45 08E",9
91,Bạch Long Vĩ,Huyện,"20 08 41N, 107 42 51E",28
92,Bạch Thông,Huyện,"22 12 04N, 105 51 01E",11
93,Bắc Bình,Huyện,"11 15 52N, 108 21 33E",16
94,Bắc Giang,Thành phố,"21 17 36N, 106 11 18E",10
95,Bắc Hà,Huyện,"22 30 08N, 104 18 54E",36
96,Bắc Kạn,Th? Xó,"22 08 00N, 105 51 10E",11
97,Bắc Mê,Huyện,"22 45 48N, 105 16 26E",23
98,Bắc Ninh,Thành phố,"21 10 48N, 106 03 58E",12
99,Bắc Quang,Huyện,"22 23 42N, 104 55 06E",23
100,Bắc Sơn,Huyện,"21 48 57N, 106 15 28E",37
101,Bắc Trà My,Huyện,"15 08 00N, 108 05 32E",47
102,Bắc Yên,Huyện,"21 13 23N, 104 22 09E",51
103,Bình Đại,Huyện,"10 09 56N, 106 37 46E",17
104,Bình Chánh,Huyện,"10 45 01N, 106 30 45E",29
105,Bình Gia,Huyện,"22 03 56N, 106 19 01E",37
106,Bình Giang,Huyện,"20 52 36N, 106 11 24E",27
107,Bình Liêu,Huyện,"21 33 07N, 107 26 24E",49
