1,Đà Nẵng,Thành Phố
2,Đắk Lắk,Tỉnh
3,Đắk Nông,Tỉnh
4,Đồng Nai,Tỉnh
5,Đồng Tháp,Tỉnh
6,Điện Biên,Tỉnh
7,An Giang,Tỉnh
8,Bà Rịa - Vũng Tàu,Tỉnh
9,Bạc Liêu,Tỉnh
10,Bắc Giang,Tỉnh
11,Bắc Kạn,Tỉnh
12,Bắc Ninh,Tỉnh
13,Bình Định,Tỉnh
14,Bình Dương,Tỉnh
15,Bình Phước,Tỉnh
16,Bình Thuận,Tỉnh
17,Bến Tre,Tỉnh
18,Cà Mau,Tỉnh
19,Cao Bằng,Tỉnh
20,Cần Thơ,Thành Phố
21,Gia Lai,Tỉnh
22,Hưng Yên,Tỉnh
23,Hà Giang,Tỉnh
24,Hà Nam,Tỉnh
25,Hà Nội,Thành Phố
26,Hà Tĩnh,Tỉnh
27,Hải Dương,Tỉnh
28,Hải Phòng,Thành Phố
29,Hồ Chí Minh,Thành Phố
30,Hậu Giang,Tỉnh
31,Hòa Bình,Tỉnh
32,Khánh Hòa,Tỉnh
33,Kiên Giang,Tỉnh
34,Kon Tum,Tỉnh
35,Lâm Đồng,Tỉnh
36,Lào Cai,Tỉnh
37,Lạng Sơn,Tỉnh
38,Lai Châu,Tỉnh
39,Long An,Tỉnh
40,Nam Định,Tỉnh
41,Nghệ An,Tỉnh
42,Ninh Bình,Tỉnh
43,Ninh Thuận,Tỉnh
44,Phú Thọ,Tỉnh
45,Phú Yên,Tỉnh
46,Quảng Bình,Tỉnh
47,Quảng Nam,Tỉnh
48,Quảng Ngãi,Tỉnh
49,Quảng Ninh,Tỉnh
50,Quảng Trị,Tỉnh
51,Sơn La,Tỉnh
52,Sóc Trăng,Tỉnh
53,Tây Ninh,Tỉnh
54,Thái Bình,Tỉnh
55,Thái Nguyên,Tỉnh
56,Thanh Hóa,Tỉnh
57,Thừa Thiên Huế,Tỉnh
58,Tiền Giang,Tỉnh
59,Trà Vinh,Tỉnh
60,Tuyên Quang,Tỉnh
61,Vĩnh Long,Tỉnh
62,Vĩnh Phúc,Tỉnh
63,Yên Bái,Tỉnh
